,Округ,Район,Площадь,Площадь лог,Кол-во комнат,Этаж,Этажей в доме,Первый этаж,Последний этаж,Метро,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Тип дома,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна,Окна во двор,Ремонт,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади,Площадь кухни
85,ЮАО,р-н Бирюлево Восточное,35.0,3.5553480614894135,1,9.0,12.0,False,False,Царицыно,10,False,True,Панельный,False,False,False,Во двор,True,Косметический,True,44.0,0.5485714285714286,0.2857142857142857,10.0
86,НАО (Новомосковский),Сосенское поселение,26.0,3.258096538021482,СиА,7.0,15.0,False,False,Ольховая,20,True,False,,False,False,False,Во двор,True,Евроремонт,True,,0.6538461538461539,0.15384615384615385,4.0
87,ЮАО,р-н Чертаново Южное,32.3,3.475067230228611,1,2.0,9.0,False,False,Улица Академика Янгеля,10,True,False,Панельный,False,False,False,Во двор,True,,True,49.0,0.5789473684210527,0.19195046439628485,6.2
88,ЮВАО,р-н Нижегородский,34.0,3.5263605246161616,1,7.0,9.0,False,False,Стахановская,8,True,False,Кирпичный,True,False,True,Во двор,True,Косметический,True,55.0,0.5588235294117647,0.23529411764705882,8.0
89,НАО (Новомосковский),Коммунарка поселок,24.0,3.1780538303479458,СиА,9.0,11.0,False,False,Коммунарка,18,True,False,,False,False,False,,False,Евроремонт,True,,0.5833333333333334,0.25,6.0
90,ЗелАО,р-н Крюково,34.4,3.5380565643793527,1,7.0,19.0,False,False,Пятницкое шоссе,1,False,True,,True,False,True,,False,Евроремонт,True,2.0,0.4593023255813954,0.22674418604651164,7.8
91,САО,р-н Дмитровский,32.6,3.484312288372662,1,3.0,5.0,False,False,Марк,15,False,True,Панельный,True,False,True,,False,Косметический,True,54.0,,,
92,ВАО,р-н Северное Измайлово,35.0,3.5553480614894135,1,6.0,7.0,False,False,Первомайская,15,True,False,Панельный,False,False,True,Во двор,True,Косметический,True,42.0,0.5142857142857142,0.2,7.0
93,ЮАО,р-н Нагорный,22.0,3.091042453358316,СиА,7.0,9.0,False,False,Нахимовский проспект,,False,False,Кирпичный,False,False,False,Во двор,True,Косметический,True,47.0,0.6363636363636364,,
94,ЮВАО,р-н Выхино-Жулебино,33.6,3.5145260669691587,1,6.0,9.0,False,False,Выхино,4,False,True,Блочный,True,False,False,,False,Косметический,True,52.0,0.5476190476190476,0.1994047619047619,6.7
95,НАО (Новомосковский),Сосенское поселение,32.0,3.4657359027997265,1,12.0,15.0,False,False,Коммунарка,5,True,False,,False,False,False,,False,Дизайнерский,True,,,,
96,ВАО,р-н Ивановское,32.8,3.490428515390098,1,8.0,9.0,False,False,Новогиреево,1,False,True,Панельный,False,False,True,,False,Косметический,True,50.0,0.5762195121951219,0.24390243902439027,8.0
97,ЮЗАО,р-н Ясенево,32.7,3.487375077903208,1,3.0,9.0,False,False,,,False,False,Панельный,True,True,False,Во двор,True,,True,43.0,0.5718654434250764,,
98,ЮАО,р-н Донской,23.3,3.1484533605716547,СиА,2.0,5.0,False,False,Нагатинская,16,True,False,Кирпичный,False,False,False,,False,,True,56.0,0.6866952789699571,0.17167381974248927,4.0
