,Цена за метр^2,Площадь лог,Округ,Район,Первый этаж,Последний этаж,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна во двор,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади
6770,164199.1924629879,4.308110951723713,ЮЗАО,р-н Южное Бутово,False,False,7,True,False,True,True,True,True,True,20.0,0.5423956931359354,0.1480484522207268
6771,164189.1891891892,4.30406509320417,ВАО,р-н Косино-Ухтомский,False,False,3,False,True,False,False,True,True,True,15.0,0.5945945945945946,0.13513513513513514
6772,166438.35616438356,4.290459441148391,ЮАО,р-н Москворечье-Сабурово,False,False,10,True,False,True,False,True,True,True,32.0,0.6301369863013698,0.13972602739726026
6773,171830.98591549296,4.2626798770413155,САО,р-н Ховрино,False,False,20,True,False,True,False,True,False,True,25.0,0.6056338028169014,0.14084507042253522
6774,169444.44444444444,4.276666119016055,ЮАО,р-н Нагорный,False,True,10,True,False,True,False,False,False,False,80.0,0.6388888888888888,0.125
6775,174285.7142857143,4.248495242049359,СЗАО,р-н Покровское-Стрешнево,False,False,13,True,False,False,False,True,True,True,41.0,0.6428571428571429,0.14285714285714285
6776,166438.35616438356,4.290459441148391,ЮЗАО,р-н Ясенево,False,False,23,True,False,True,False,True,True,True,39.0,0.6164383561643836,0.136986301369863
6777,184696.9696969697,4.189654742026425,ЗАО,р-н Очаково-Матвеевское,False,False,5,True,False,False,False,True,True,True,53.0,0.6666666666666666,0.13636363636363635
6778,162666.66666666666,4.31748811353631,САО,р-н Тимирязевский,False,False,6,True,False,True,False,True,True,True,41.0,0.56,0.13333333333333333
6779,182089.55223880598,4.204692619390966,СВАО,р-н Лианозово,False,False,6,False,True,False,False,True,False,True,34.0,0.682089552238806,0.11492537313432837
6780,182089.55223880598,4.204692619390966,ЮЗАО,р-н Котловка,False,False,5,True,False,True,False,True,True,True,54.0,0.746268656716418,0.13432835820895522
6781,163101.60427807487,4.314817884980432,ВАО,р-н Косино-Ухтомский,False,True,5,True,False,False,False,True,False,True,15.0,0.5748663101604279,0.17379679144385027
6782,162666.66666666666,4.31748811353631,ЮВАО,р-н Марьино,False,True,18,True,False,True,False,True,True,True,25.0,0.6133333333333333,0.14
